"Date","Last","Open","High","Low","Vol","% Changs"
"Feb 15, 2019","3.66","3.64","3.77","3.64","12.79M","-0.27%"
"Feb 14, 2019","3.67","3.67","3.71","3.62","12.00M","-0.27%"
"Feb 13, 2019","3.68","3.62","3.70","3.58","10.98M","1.66%"
"Feb 12, 2019","3.62","3.63","3.67","3.55","9.30M","0.56%"
"Feb 11, 2019","3.60","3.48","3.65","3.47","8.35M","3.75%"
"Feb 01, 2019","3.47","3.38","3.49","3.37","7.86M","2.66%"
"Jan 31, 2019","3.38","3.32","3.45","3.30","15.41M","1.81%"
"Jan 30, 2019","3.32","3.31","3.46","3.31","27.83M","-9.78%"
"Jan 29, 2019","3.68","3.88","3.90","3.51","15.81M","-4.91%"
"Jan 28, 2019","3.87","4.04","4.06","3.85","15.96M","-3.97%"
"Jan 25, 2019","4.03","4.14","4.15","4.03","11.49M","-2.42%"
"Jan 24, 2019","4.13","4.13","4.20","4.06","12.62M","-0.48%"
"Jan 23, 2019","4.15","4.12","4.17","4.09","7.77M","0.00%"
"Jan 22, 2019","4.15","4.28","4.28","4.13","14.89M","-3.26%"
"Jan 21, 2019","4.29","4.27","4.40","4.24","16.68M","-0.69%"
"Jan 18, 2019","4.32","4.20","4.50","4.20","32.73M","2.13%"
"Jan 17, 2019","4.23","4.17","4.26","4.05","17.18M","0.95%"
"Jan 16, 2019","4.19","4.19","4.35","4.15","19.53M","0.00%"
"Jan 15, 2019","4.19","4.13","4.19","4.08","15.18M","0.48%"
"Jan 14, 2019","4.17","4.30","4.32","4.15","15.86M","-2.57%"
"Jan 11, 2019","4.28","4.25","4.35","4.25","15.77M","0.71%"
"Jan 10, 2019","4.25","4.29","4.33","4.23","15.58M","-1.62%"
"Jan 09, 2019","4.32","4.30","4.34","4.24","24.58M","0.23%"
"Jan 08, 2019","4.31","4.37","4.45","4.29","29.04M","-3.58%"
"Jan 07, 2019","4.47","4.34","4.53","4.23","43.36M","0.68%"
"Jan 04, 2019","4.44","4.38","4.52","4.19","59.77M","2.07%"
"Jan 03, 2019","4.35","4.00","4.35","3.98","19.46M","10.13%"
"Jan 02, 2019","3.95","3.99","4.01","3.90","9.33M","0.25%"
