Date,High,Low,Open,Close,Volume,Difference
2014-03-09,640.8,594.7,609.2,624,21080,0.0243
2014-03-16,627.3,537.2,624,564.3,25940,-0.0957
2014-03-23,575.4,453.8,564.3,477.1,27560,-0.1546
2014-03-30,487.4,386.7,477.1,456.6,24110,-0.0429
2014-04-06,485.1,355.7,456.6,437.6,29330,-0.0416
2014-04-13,549,409.9,437.6,506,53390,0.1562
2014-04-20,524.7,438.3,506,457.9,43030,-0.0952
2014-04-27,464.5,420.8,457.9,438.6,29460,-0.042
2014-05-04,459.5,420.2,438.6,451.9,20890,0.0302
2014-05-11,455.9,429,451.9,452.8,13760,0.002
2014-05-18,540.9,437.3,452.8,520.5,14840,0.1495
2014-05-25,629,520.5,520.5,627.9,26110,0.2065
2014-06-01,676.5,602.1,627.9,651.7,28410,0.0378
2014-06-08,663,563.7,651.7,583.4,31060,-0.1047
2014-06-15,614.4,560.8,583.4,597,24280,0.0233
2014-06-22,610.1,565.8,597,597.6,21330,0.0009
2014-06-29,652.5,593.2,597.6,623,26470,0.0425
2014-07-06,638.6,607.3,623,635.9,21670,0.0208
2014-07-13,638.6,610,635.9,627,21180,-0.0139
2014-07-20,628.8,593.3,627,596,24420,-0.0495
2014-07-27,604,564,596,591.7,31260,-0.0072
2014-08-03,608.2,580.6,591.7,589.5,18800,-0.0037
2014-08-10,596.6,483.2,589.5,522,31570,-0.1145
2014-08-17,537.2,450,522,497.7,35330,-0.0466
2014-08-24,527.4,496.8,497.7,506,23330,0.0166
2014-08-31,508.3,470.5,506,484.5,44410,-0.0425
2014-09-07,491,467.5,484.5,478.2,44000,-0.013
2014-09-14,480.3,386.1,478.2,411.5,62050,-0.1394
2014-09-21,445.5,394.5,411.5,399,99720,-0.0304
2014-09-28,402.3,327.1,399,335.3,123420,-0.1596
2014-10-05,384.6,294.9,335.3,361.2,200890,0.0772
2014-10-12,407.7,352.3,361.2,390.9,132960,0.0821
2014-10-19,394.5,341.5,390.9,346.7,89270,-0.113
2014-10-26,356.8,320.7,346.7,325.4,87780,-0.0614
2014-11-02,351.6,319.8,325.4,343.5,95140,0.0556
2014-11-09,480.5,341.8,343.5,374.9,197010,0.0912
2014-11-16,412.3,343.8,374.9,352,147310,-0.061
2014-11-23,395.7,352.6,352,376.3,246590,0.0689
2014-11-30,384.9,366.2,376.3,376.3,146150,0
2014-12-07,377.9,337.8,376.3,348.2,200160,-0.0745
2014-12-14,351.6,303.4,348.2,330.4,266580,-0.0514
2014-12-21,339.3,312,330.4,315.3,161650,-0.0454
2014-12-28,322.8,284.9,315.3,287.1,158960,-0.0895
2015-01-04,296.1,255.9,287.1,273.4,252200,-0.048
2015-01-11,278,157.3,273.4,199.6,536800,-0.2696
2015-01-18,248.9,192.5,199.6,248.2,277730,0.243
2015-01-25,310.9,216.5,248.2,218.5,414800,-0.1195
2015-02-01,247.5,209.7,218.5,227.7,331420,0.042
2015-02-08,261.3,214.4,227.7,258.6,574780,0.136
2015-02-15,264.6,226.6,258.6,244.4,703120,-0.055
2015-02-22,258.7,231.3,244.4,254.1,479590,0.0395
2015-03-01,287.1,244.8,254.1,274.9,719390,0.0821
2015-03-08,301,271.3,274.9,281.6,720710,0.0243
2015-03-15,294,247,281.6,259.7,662730,-0.0777
2015-03-22,271,234.8,259.7,252,627700,-0.0296
2015-03-29,256.5,236.6,252,252.9,489100,0.0035
2015-04-05,261.5,231.3,252.9,236.5,458580,-0.0649
2015-04-12,237.5,214.3,236.5,223.4,518950,-0.0555
2015-04-19,238.4,221.6,223.4,226.1,382290,0.0125
2015-04-26,242.6,214.1,226.1,235.3,560490,0.0407
2015-05-03,247.9,228.2,235.3,241.4,547710,0.0257
2015-05-10,244.8,232.4,241.4,236.2,369770,-0.0214
2015-05-17,242,231.3,236.2,238.9,325280,0.0115
